number	timestamp	filename
01	0	01_00h00m00.000s.png
02	23.875	02_00h00m23.875s.png
03	41.3333	03_00h00m41.333s.png
04	45.7917	04_00h00m45.791s.png
05	68.7917	05_00h01m08.791s.png
06	99.3333	06_00h01m39.333s.png
07	104.417	07_00h01m44.417s.png
08	134.292	08_00h02m14.292s.png
09	155.083	09_00h02m35.083s.png
10	158.417	10_00h02m38.417s.png
11	192.417	11_00h03m12.417s.png
12	219.458	12_00h03m39.458s.png
13	225	13_00h03m45.225s.png
14	260.25	14_00h04m20.250s.png
15	284.708	15_00h04m44.708s.png
16	311.542	16_00h05m11.542s.png
17	316.292	17_00h05m16.292s.png
18	340.208	18_00h05m40.208s.png
19	356.917	19_00h05m56.917s.png
20	361.625	20_00h06m01.625s.png
21	389.375	21_00h06m29.375s.png
